line_group,color,x1,y1,x2,y2
bottom_right_boundary_leftwing,dark,15.00,24.00,80.00,16.00
bottom_left_boundary_left_wing,dark,80.00,16.00,145.00,24.00
top_boundary_left_wing,dark,15.00,110.00,67.00,122.00
bottom_to_left_wing,dark,15.00,24.00,72.00,110.00
bottom_to_left_wing,dark,17.00,23.75,71.62,110.92
bottom_to_left_wing,dark,19.00,23.50,71.23,111.85
bottom_to_left_wing,dark,21.00,23.25,70.85,112.77
bottom_to_left_wing,dark,23.00,23.00,70.46,113.69
bottom_to_left_wing,dark,25.00,22.75,70.08,114.62
bottom_to_left_wing,dark,27.00,22.50,69.69,115.54
bottom_to_left_wing,dark,29.00,22.25,69.31,116.46
bottom_to_left_wing,dark,31.00,22.00,68.92,117.38
bottom_to_left_wing,dark,33.00,21.75,68.54,118.31
bottom_to_left_wing,dark,35.00,21.50,68.15,119.23
bottom_to_left_wing,dark,37.00,21.25,67.77,120.15
bottom_to_left_wing,dark,39.00,21.00,67.38,121.08
bottom_to_left_wing,dark,41.00,20.75,67.00,122.00
bottom_to_left_wing,dark,43.00,20.50,66.00,121.77
bottom_to_left_wing,dark,45.00,20.25,65.00,121.54
bottom_to_left_wing,dark,47.00,20.00,64.00,121.31
bottom_to_left_wing,dark,49.00,19.75,63.00,121.08
bottom_to_left_wing,dark,51.00,19.50,62.00,120.85
bottom_to_left_wing,dark,53.00,19.25,61.00,120.62
bottom_to_left_wing,dark,55.00,19.00,60.00,120.38
bottom_to_left_wing,dark,57.00,18.75,59.00,120.15
bottom_to_left_wing,dark,59.00,18.50,58.00,119.92
bottom_to_left_wing,dark,61.00,18.25,57.00,119.69
bottom_to_left_wing,dark,63.00,18.00,56.00,119.46
bottom_to_left_wing,dark,65.00,17.75,55.00,119.23
bottom_to_left_wing,dark,67.00,17.50,54.00,119.00
bottom_to_left_wing,dark,69.00,17.25,53.00,118.77
bottom_to_left_wing,dark,71.00,17.00,52.00,118.54
bottom_to_left_wing,dark,73.00,16.75,51.00,118.31
bottom_to_left_wing,dark,75.00,16.50,50.00,118.08
